Rank,Feature,Importance
1,DAYS_SINCE_LAST,0.3866830769183085
2,QTD_FINANCEIRO_mean,0.24974479628159527
3,QTD_SOL_LAST_30D,0.07724060977090658
4,QTD_SUPORTE_TECNICO_mean,0.07236556338933871
5,N_UNIQUE_DATES,0.052942865019677265
6,JA_TENTOU_CANCELAR_max,0.052892512520824726
7,QTD_OUTROS_mean,0.03682079223317244
8,FREQ_CONTATO_max,0.021023134592103452
9,QTD_ADMINISTRATIVO_mean,0.02012848535258145
10,TAXA_CONTATO_DIA,0.016739259518408732
11,QTD_REGISTROS_CLIENTE,0.013418904403082906
